block_context,block_id,condition,elapsed_experiment_time,event,image_name,image_path,local_time,marker_code,psychopy_flip_time,role,session_id,stimulus_category,subject_id,trial_id
,,,0.00021070000002509914,EXP_START,,,0.00020870000116701704,33024,,,20260515_124304,,S001,
club_context,1,,2.0275672000007035,BLOCK_CLUB_CONTEXT,,,2.0275621000000683,33025,7.604075699999157,,20260515_124304,,S001,
club_context,1,standard_club,4.193697100001373,STANDARD_CLUB,bayerns.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\bayerns.jpg,4.193692700000611,33026,9.77037720000044,standard,20260515_124304,club,S001,1
club_context,1,standard_club,6.4267147999999,STANDARD_CLUB,aldo.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\aldo.jpg,6.4267110000000685,33026,12.003052599999137,standard,20260515_124304,club,S001,2
club_context,1,standard_club,8.660175200000594,STANDARD_CLUB,tigre.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\tigre.jpg,8.660167200001524,33026,14.236638099999254,standard,20260515_124304,club,S001,3
club_context,1,standard_club,10.910071199999948,STANDARD_CLUB,arse.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\arse.jpg,10.910067200000412,33026,16.486824600000546,standard,20260515_124304,club,S001,4
club_context,1,deviant_object,13.176875099999961,DEVIANT_OBJECT,object_01.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_01.jpg,13.176868400001695,33027,18.753157199998896,deviant,20260515_124304,object,S001,5
club_context,1,standard_club,15.409229799999594,STANDARD_CLUB,sanlo.png,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\sanlo.png,15.409223000000566,33026,20.98605619999944,standard,20260515_124304,club,S001,6
club_context,1,standard_club,17.64369120000083,STANDARD_CLUB,liver.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\liver.jpg,17.643684500000745,33026,23.22033349999947,standard,20260515_124304,club,S001,7
club_context,1,standard_club,19.89362590000019,STANDARD_CLUB,tigre.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\tigre.jpg,19.89361860000099,33026,25.47021230000064,standard,20260515_124304,club,S001,8
club_context,1,standard_club,22.126438999999664,STANDARD_CLUB,arse.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\arse.jpg,22.12643510000089,33026,27.702960399999938,standard,20260515_124304,club,S001,9
club_context,1,deviant_object,24.37590480000108,DEVIANT_OBJECT,object_14.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\objects\object_14.jpg,24.375898500000403,33027,29.952633799999603,deviant,20260515_124304,object,S001,10
club_context,1,standard_club,26.609376399999746,STANDARD_CLUB,sanlo.png,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\sanlo.png,26.609370000000126,33026,32.185667800000374,standard,20260515_124304,club,S001,11
club_context,1,standard_club,28.84370200000012,STANDARD_CLUB,aleto.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\aleto.jpg,28.8436956000005,33026,34.42008150000038,standard,20260515_124304,club,S001,12
club_context,1,standard_club,31.07683150000048,STANDARD_CLUB,boca.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\boca.jpg,31.07682510000086,33026,36.65314009999929,standard,20260515_124304,club,S001,13
club_context,1,standard_club,33.30982229999972,STANDARD_CLUB,bayerns.jpg,C:\Users\Juani\ITBA\MATERIIAS\GIS\experimientos\stimuli_oddball\clubs\bayerns.jpg,33.309815500000695,33026,38.886098999999376,standard,20260515_124304,club,S001,14
